,guid,sent_no,quote_no,quote_text,coref,quote_stems,quote_stems_coref,quote_stem_list,quote_stem_list_coref,url,title,date,domain,stance,topic,is_AP,reg_title,leaning
3228,url_no_4241,165,0,See also : These are the stocks to short when a COVID vaccine is ready,See also : These are the stocks to short when a COVID vaccine is ready,"['see', 'also', ':', 'these', 'are', 'the', 'stock', 'to', 'short', 'when', 'a', 'covid', 'vaccin', 'is', 'readi']","['see', 'also', ':', 'these', 'are', 'the', 'stock', 'to', 'short', 'when', 'a', 'covid', 'vaccin', 'is', 'readi']","['see', 'also', ':', 'these', 'are', 'the', 'stock', 'to', 'short', 'when', 'a', 'covid', 'vaccin', 'is', 'readi']","['see', 'also', ':', 'these', 'are', 'the', 'stock', 'to', 'short', 'when', 'a', 'covid', 'vaccin', 'is', 'readi']",marketwatch.com/news/story.asp?guid=%7B8CEEC088-1534-11EB-8675-9C404CA06A7E%7D&siteid=rss&rss=1,coronavirus update us death toll tops 223000 rural hospitals are filling and the dakotas lead the nation by new infections,2020-10-23 10:40:54.000000,marketwatch,anti,cc,False,coronavirus update us death toll tops 223000 rural hospitals are filling and the dakotas lead the nation by new infections,right
1198,url_no_1902,93,0,no vaccine has ever led to infertility and there was no reason the Covid ones would do so .  ,no vaccine has ever led to infertility and there was no reason the Covid ones would do so .  ,"['no', 'vaccin', 'ha', 'ever', 'led', 'to', 'infertil', 'and', 'there', 'wa', 'no', 'reason', 'the', 'covid', 'one', 'would', 'do', 'so', '.']","['no', 'vaccin', 'ha', 'ever', 'led', 'to', 'infertil', 'and', 'there', 'wa', 'no', 'reason', 'the', 'covid', 'one', 'would', 'do', 'so', '.']","['no', 'vaccin', 'ha', 'ever', 'led', 'to', 'infertil', 'and', 'there', 'wa', 'no', 'reason', 'the', 'covid', 'one', 'would', 'do', 'so', '.']","['no', 'vaccin', 'ha', 'ever', 'led', 'to', 'infertil', 'and', 'there', 'wa', 'no', 'reason', 'the', 'covid', 'one', 'would', 'do', 'so', '.']",dailymail.co.uk/news/article-9342467/BAME-communities-risk-UKs-colour-blind-Covid-vaccine-strategy-experts-warn.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,bame communities are being put at risk by uks colourblind covid vaccine strategy experts warn,2021-03-09 19:05:46.000000,drudgereport,anti,cc,False,bame communities are being put at risk by uks colourblind covid vaccine strategy experts warn,right
8021,url_no_11151,33,0,NY mandates ALL state workers must get the COVID-19 vaccine or undergo weekly testing,NY mandates ALL state workers must get the COVID-19 vaccine or undergo weekly testing,"['ny', 'mandat', 'all', 'state', 'worker', 'must', 'get', 'the', 'covid-19', 'vaccin', 'or', 'undergo', 'weekli', 'test']","['ny', 'mandat', 'all', 'state', 'worker', 'must', 'get', 'the', 'covid-19', 'vaccin', 'or', 'undergo', 'weekli', 'test']","['ny', 'mandat', 'all', 'state', 'worker', 'must', 'get', 'the', 'covid-19', 'vaccin', 'or', 'undergo', 'weekli', 'test']","['ny', 'mandat', 'all', 'state', 'worker', 'must', 'get', 'the', 'covid-19', 'vaccin', 'or', 'undergo', 'weekli', 'test']",dailymail.co.uk/news/article-9385911/Ministers-cast-doubts-summer-holidays-abroad.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,ministers cast further doubts on summer holidays abroad,2021-03-21 11:05:56.000000,drudgereport,anti,cc,False,ministers cast further doubts on summer holidays abroad,right
5603,url_no_6948,196,0,"that it was 95 % effective in preventing COVID-19 , with no serious side effects","that this first vaccine was 95 % effective in preventing COVID-19 , with no serious side effects","['that', 'it', 'wa', '95', '%', 'effect', 'in', 'prevent', 'covid-19', ',', 'with', 'no', 'seriou', 'side', 'effect']","['that', 'thi', 'first', 'vaccin', 'wa', '95', '%', 'effect', 'in', 'prevent', 'covid-19', ',', 'with', 'no', 'seriou', 'side', 'effect']","['that', 'it', 'wa', '95', '%', 'effect', 'in', 'prevent', 'covid-19', ',', 'with', 'no', 'seriou', 'side', 'effect']","['that', 'thi', 'first', 'vaccin', 'wa', '95', '%', 'effect', 'in', 'prevent', 'covid-19', ',', 'with', 'no', 'seriou', 'side', 'effect']",cnet.com/news/fda-panel-considers-pfizers-covid-19-vaccine-for-emergency-use-in-us/#ftag=CAD590a51e,fda panel considers pfizers covid19 vaccine for emergency use in us      cnet,2020-12-10 12:57:00.000000,cnet,between,cc,False,fda panel considers pfizers covid19 vaccine for emergency use in us cnet,right
1195,url_no_1902,24,0,NY mandates ALL state workers must get the COVID-19 vaccine or undergo weekly testing,NY mandates ALL state workers must get the COVID-19 vaccine or undergo weekly testing,"['ny', 'mandat', 'all', 'state', 'worker', 'must', 'get', 'the', 'covid-19', 'vaccin', 'or', 'undergo', 'weekli', 'test']","['ny', 'mandat', 'all', 'state', 'worker', 'must', 'get', 'the', 'covid-19', 'vaccin', 'or', 'undergo', 'weekli', 'test']","['ny', 'mandat', 'all', 'state', 'worker', 'must', 'get', 'the', 'covid-19', 'vaccin', 'or', 'undergo', 'weekli', 'test']","['ny', 'mandat', 'all', 'state', 'worker', 'must', 'get', 'the', 'covid-19', 'vaccin', 'or', 'undergo', 'weekli', 'test']",dailymail.co.uk/news/article-9342467/BAME-communities-risk-UKs-colour-blind-Covid-vaccine-strategy-experts-warn.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,bame communities are being put at risk by uks colourblind covid vaccine strategy experts warn,2021-03-09 19:05:46.000000,drudgereport,anti,cc,False,bame communities are being put at risk by uks colourblind covid vaccine strategy experts warn,right
9838,url_no_13171,325,0,"that “ pregnancy testing should not be a requirement prior to receiving any EUA - approved Covid-19 vaccine ,","that “ pregnancy testing should not be a requirement prior to receiving any EUA - approved Covid-19 vaccine ,","['that', '“', 'pregnanc', 'test', 'should', 'not', 'be', 'a', 'requir', 'prior', 'to', 'receiv', 'ani', 'eua', '-', 'approv', 'covid-19', 'vaccin', ',']","['that', '“', 'pregnanc', 'test', 'should', 'not', 'be', 'a', 'requir', 'prior', 'to', 'receiv', 'ani', 'eua', '-', 'approv', 'covid-19', 'vaccin', ',']","['that', '“', 'pregnanc', 'test', 'should', 'not', 'be', 'a', 'requir', 'prior', 'to', 'receiv', 'ani', 'eua', '-', 'approv', 'covid-19', 'vaccin', ',']","['that', '“', 'pregnanc', 'test', 'should', 'not', 'be', 'a', 'requir', 'prior', 'to', 'receiv', 'ani', 'eua', '-', 'approv', 'covid-19', 'vaccin', ',']",forbes.com/sites/brucelee/2021/12/27/pfizer-biontech-and-moderna-covid-19-vaccines-what-is-still-not-known/?sh=1b27ecd75dd3,pfizerbiontech moderna covid19 vaccines what is still not known,2021-12-27 00:00:00.000000,forbes,anti,cc,False,pfizerbiontech moderna covid19 vaccines what is still not known,right
1812,url_no_2803,52,0,that COVID-19 vaccines may be somewhat vulnerable to the California “ Epsilon ” strain of   virus,that COVID-19 vaccines may be somewhat vulnerable to the California “ Epsilon ” strain of   virus,"['that', 'covid-19', 'vaccin', 'may', 'be', 'somewhat', 'vulner', 'to', 'the', 'california', '“', 'epsilon', '”', 'strain', 'of', 'viru']","['that', 'covid-19', 'vaccin', 'may', 'be', 'somewhat', 'vulner', 'to', 'the', 'california', '“', 'epsilon', '”', 'strain', 'of', 'viru']","['that', 'covid-19', 'vaccin', 'may', 'be', 'somewhat', 'vulner', 'to', 'the', 'california', '“', 'epsilon', '”', 'strain', 'of', 'viru']","['that', 'covid-19', 'vaccin', 'may', 'be', 'somewhat', 'vulner', 'to', 'the', 'california', '“', 'epsilon', '”', 'strain', 'of', 'viru']",nypost.com/2021/07/07/california-epsilon-strain-of-covid-19-could-evade-vaccines-study/,california epsilon strain of covid19 could evade vaccines study says,2021-07-07 18:01:50.000000,new_york_post,anti,cc,False,california epsilon strain of covid19 could evade vaccines study says,right
12270,url_no_17234,43,0,that teachers do not need to receive the coronavirus vaccine in order to reopen safely,that teachers do not need to receive the coronavirus vaccine in order to reopen safely,"['that', 'teacher', 'do', 'not', 'need', 'to', 'receiv', 'the', 'coronaviru', 'vaccin', 'in', 'order', 'to', 'reopen', 'safe']","['that', 'teacher', 'do', 'not', 'need', 'to', 'receiv', 'the', 'coronaviru', 'vaccin', 'in', 'order', 'to', 'reopen', 'safe']","['that', 'teacher', 'do', 'not', 'need', 'to', 'receiv', 'the', 'coronaviru', 'vaccin', 'in', 'order', 'to', 'reopen', 'safe']","['that', 'teacher', 'do', 'not', 'need', 'to', 'receiv', 'the', 'coronaviru', 'vaccin', 'in', 'order', 'to', 'reopen', 'safe']",dailycaller.com/2021/02/16/gloria-borger-erin-burnett-michael-smerconish-coronavirus-pandemic-teachers-unions-reopening-schools-biden-administration/,theres a tempest brewing cnn panel says biden administration must choose between science and unions,2021-02-16 22:46:14.000000,daily_caller,anti,cc,False,theres a tempest brewing cnn panel says biden administration must choose between science and unions,right
7107,url_no_9589,16,0,"that “ international companies that manufacture , equip , and distribute ” a Chinese coronavirus vaccine candidate contracted by the Iraqi government for use in the country , “ in addition to the Iraqi Ministry of Health and its employees , are exempt from civil and penal liability from damages resulting from the use of the vaccine","that “ international companies that manufacture , equip , and distribute ” a Chinese coronavirus vaccine candidate contracted by the Iraqi government for use in the country , “ in addition to the Iraqi Ministry of Health and Health employees , are exempt from civil and penal liability from damages resulting from the use of the vaccine","['that', '“', 'intern', 'compani', 'that', 'manufactur', ',', 'equip', ',', 'and', 'distribut', '”', 'a', 'chines', 'coronaviru', 'vaccin', 'candid', 'contract', 'by', 'the', 'iraqi', 'govern', 'for', 'use', 'in', 'the', 'countri', ',', '“', 'in', 'addit', 'to', 'the', 'iraqi', 'ministri', 'of', 'health', 'and', 'it', 'employe', ',', 'are', 'exempt', 'from', 'civil', 'and', 'penal', 'liabil', 'from', 'damag', 'result', 'from', 'the', 'use', 'of', 'the', 'vaccin']","['that', '“', 'intern', 'compani', 'that', 'manufactur', ',', 'equip', ',', 'and', 'distribut', '”', 'a', 'chines', 'coronaviru', 'vaccin', 'candid', 'contract', 'by', 'the', 'iraqi', 'govern', 'for', 'use', 'in', 'the', 'countri', ',', '“', 'in', 'addit', 'to', 'the', 'iraqi', 'ministri', 'of', 'health', 'and', 'health', 'employe', ',', 'are', 'exempt', 'from', 'civil', 'and', 'penal', 'liabil', 'from', 'damag', 'result', 'from', 'the', 'use', 'of', 'the', 'vaccin']","['that', '“', 'intern', 'compani', 'that', 'manufactur', ',', 'equip', ',', 'and', 'distribut', '”', 'a', 'chines', 'coronaviru', 'vaccin', 'candid', 'contract', 'by', 'the', 'iraqi', 'govern', 'for', 'use', 'in', 'the', 'countri', ',', '“', 'in', 'addit', 'to', 'the', 'iraqi', 'ministri', 'of', 'health', 'and', 'it', 'employe', ',', 'are', 'exempt', 'from', 'civil', 'and', 'penal', 'liabil', 'from', 'damag', 'result', 'from', 'the', 'use', 'of', 'the', 'vaccin']","['that', '“', 'intern', 'compani', 'that', 'manufactur', ',', 'equip', ',', 'and', 'distribut', '”', 'a', 'chines', 'coronaviru', 'vaccin', 'candid', 'contract', 'by', 'the', 'iraqi', 'govern', 'for', 'use', 'in', 'the', 'countri', ',', '“', 'in', 'addit', 'to', 'the', 'iraqi', 'ministri', 'of', 'health', 'and', 'health', 'employe', ',', 'are', 'exempt', 'from', 'civil', 'and', 'penal', 'liabil', 'from', 'damag', 'result', 'from', 'the', 'use', 'of', 'the', 'vaccin']",breitbart.com/national-security/2021/03/16/iraq-compensate-citizens-suffering-coronavirus-vaccine-side-effects/,iraq to compensate citizens suffering from vaccine side effects,2021-03-16 13:31:58.000000,breitbart,anti,cc,False,iraq to compensate citizens suffering from vaccine side effects,right
1646,url_no_2661,132,0,We are delighted to be able to give a positive recommendation for the Moderna vaccine which will help in the roll - out of the Covid vaccination programme,We are delighted to be able to give a positive recommendation for the Moderna vaccine which will help in the roll - out of the Covid vaccination programme,"['we', 'are', 'delight', 'to', 'be', 'abl', 'to', 'give', 'a', 'posit', 'recommend', 'for', 'the', 'moderna', 'vaccin', 'which', 'will', 'help', 'in', 'the', 'roll', '-', 'out', 'of', 'the', 'covid', 'vaccin', 'programm']","['we', 'are', 'delight', 'to', 'be', 'abl', 'to', 'give', 'a', 'posit', 'recommend', 'for', 'the', 'moderna', 'vaccin', 'which', 'will', 'help', 'in', 'the', 'roll', '-', 'out', 'of', 'the', 'covid', 'vaccin', 'programm']","['we', 'are', 'delight', 'to', 'be', 'abl', 'to', 'give', 'a', 'posit', 'recommend', 'for', 'the', 'moderna', 'vaccin', 'which', 'will', 'help', 'in', 'the', 'roll', '-', 'out', 'of', 'the', 'covid', 'vaccin', 'programm']","['we', 'are', 'delight', 'to', 'be', 'abl', 'to', 'give', 'a', 'posit', 'recommend', 'for', 'the', 'moderna', 'vaccin', 'which', 'will', 'help', 'in', 'the', 'roll', '-', 'out', 'of', 'the', 'covid', 'vaccin', 'programm']",dailymail.co.uk/news/article-9126141/Britain-approves-Modernas-Covid-vaccine.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,britain approves modernas covid vaccine,2021-01-08 07:32:05.000000,drudgereport,anti,cc,False,britain approves modernas covid vaccine,right
12309,url_no_17297,59,2,"De Blasio offering cash in latest plea to unvaccinated New Yorkers      Pfizer sold $ 7.8B in COVID vaccines in 2Q ,","De Blasio offering cash in latest plea to unvaccinated New Yorkers      Pfizer sold $ 7.8B in COVID vaccines in 2Q ,","['de', 'blasio', 'offer', 'cash', 'in', 'latest', 'plea', 'to', 'unvaccin', 'new', 'yorker', 'pfizer', 'sold', '$', '7.8b', 'in', 'covid', 'vaccin', 'in', '2q', ',']","['de', 'blasio', 'offer', 'cash', 'in', 'latest', 'plea', 'to', 'unvaccin', 'new', 'yorker', 'pfizer', 'sold', '$', '7.8b', 'in', 'covid', 'vaccin', 'in', '2q', ',']","['de', 'blasio', 'offer', 'cash', 'in', 'latest', 'plea', 'to', 'unvaccin', 'new', 'yorker', 'pfizer', 'sold', '$', '7.8b', 'in', 'covid', 'vaccin', 'in', '2q', ',']","['de', 'blasio', 'offer', 'cash', 'in', 'latest', 'plea', 'to', 'unvaccin', 'new', 'yorker', 'pfizer', 'sold', '$', '7.8b', 'in', 'covid', 'vaccin', 'in', '2q', ',']",nypost.com/2020/12/05/these-nyc-first-responders-fear-covid-19-vaccine-side-effects/,these nyc first responders fear covid19 vaccine side effects,2020-12-05 16:46:40.000000,new_york_post,anti,cc,False,these nyc first responders fear covid19 vaccine side effects,right
5555,url_no_6919,163,2,The Baltimore factory contracted to make Johnson & Johnson ’s COVID-19 vaccine was dirty,The Baltimore factory contracted to make Johnson & Johnson ’s COVID-19 vaccine was dirty,"['the', 'baltimor', 'factori', 'contract', 'to', 'make', 'johnson', '&', 'johnson', '’', 's', 'covid-19', 'vaccin', 'wa', 'dirti']","['the', 'baltimor', 'factori', 'contract', 'to', 'make', 'johnson', '&', 'johnson', '’', 's', 'covid-19', 'vaccin', 'wa', 'dirti']","['the', 'baltimor', 'factori', 'contract', 'to', 'make', 'johnson', '&', 'johnson', '’', 's', 'covid-19', 'vaccin', 'wa', 'dirti']","['the', 'baltimor', 'factori', 'contract', 'to', 'make', 'johnson', '&', 'johnson', '’', 's', 'covid-19', 'vaccin', 'wa', 'dirti']",ocregister.com/2021/04/21/fda-found-problems-at-the-us-factory-making-jj-vaccine/,fda found problems at the us factory making jj vaccine,2021-04-21 14:51:32.000000,orange_county_register,between,cc,True,fda found problems at the us factory making jj vaccine,right
7716,url_no_10654,150,1,how the AstraZeneca supply chain looks across Europe                          AstraZeneca lost £ 21 BILLION in profits from selling Covid vaccine cheaply    By Matt Oliver for the Daily Mail Astrazeneca,how the AstraZeneca supply chain looks across Europe                          AstraZeneca lost £ 21 BILLION in profits from selling Covid vaccine cheaply    By Matt Oliver for the Daily Mail Astrazeneca,"['how', 'the', 'astrazeneca', 'suppli', 'chain', 'look', 'across', 'europ', 'astrazeneca', 'lost', '£', '21', 'billion', 'in', 'profit', 'from', 'sell', 'covid', 'vaccin', 'cheapli', 'by', 'matt', 'oliv', 'for', 'the', 'daili', 'mail', 'astrazeneca']","['how', 'the', 'astrazeneca', 'suppli', 'chain', 'look', 'across', 'europ', 'astrazeneca', 'lost', '£', '21', 'billion', 'in', 'profit', 'from', 'sell', 'covid', 'vaccin', 'cheapli', 'by', 'matt', 'oliv', 'for', 'the', 'daili', 'mail', 'astrazeneca']","['how', 'the', 'astrazeneca', 'suppli', 'chain', 'look', 'across', 'europ', 'astrazeneca', 'lost', '£', '21', 'billion', 'in', 'profit', 'from', 'sell', 'covid', 'vaccin', 'cheapli', 'by', 'matt', 'oliv', 'for', 'the', 'daili', 'mail', 'astrazeneca']","['how', 'the', 'astrazeneca', 'suppli', 'chain', 'look', 'across', 'europ', 'astrazeneca', 'lost', '£', '21', 'billion', 'in', 'profit', 'from', 'sell', 'covid', 'vaccin', 'cheapli', 'by', 'matt', 'oliv', 'for', 'the', 'daili', 'mail', 'astrazeneca']",dailymail.co.uk/news/article-9405629/Macron-leads-EU-hardliners-pushing-vaccine-export-ban.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,macron leads eu hardliners still pushing for vaccine export ban,2021-03-26 06:29:48.000000,drudgereport,anti,cc,False,macron leads eu hardliners still pushing for vaccine export ban,right
6147,url_no_7950,75,1,ministers are mulling a ' Covid clear ' system for people to prove they have tested negative or had a vaccine help open up pubs and sporting events,ministers are mulling a ' Covid clear ' system for people to prove people have tested negative or had a vaccine help open up pubs and sporting events,"['minist', 'are', 'mull', 'a', ""'"", 'covid', 'clear', ""'"", 'system', 'for', 'peopl', 'to', 'prove', 'they', 'have', 'test', 'neg', 'or', 'had', 'a', 'vaccin', 'help', 'open', 'up', 'pub', 'and', 'sport', 'event']","['minist', 'are', 'mull', 'a', ""'"", 'covid', 'clear', ""'"", 'system', 'for', 'peopl', 'to', 'prove', 'peopl', 'have', 'test', 'neg', 'or', 'had', 'a', 'vaccin', 'help', 'open', 'up', 'pub', 'and', 'sport', 'event']","['minist', 'are', 'mull', 'a\', ""\'"", \'covid', 'clear\', ""\'"", \'system', 'for', 'peopl', 'to', 'prove', 'they', 'have', 'test', 'neg', 'or', 'had', 'a', 'vaccin', 'help', 'open', 'up', 'pub', 'and', 'sport', 'event']","['minist', 'are', 'mull', 'a\', ""\'"", \'covid', 'clear\', ""\'"", \'system', 'for', 'peopl', 'to', 'prove', 'peopl', 'have', 'test', 'neg', 'or', 'had', 'a', 'vaccin', 'help', 'open', 'up', 'pub', 'and', 'sport', 'event']",dailymail.co.uk/news/article-9426103/GP-surgeries-hospitals-supermarkets-set-exempt-Covid-vaccine-passports.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,gp surgeries hospitals and supermarkets are set to be exempt from covid vaccine passports,2021-04-01 04:15:38.000000,drudgereport,anti,cc,False,gp surgeries hospitals and supermarkets are set to be exempt from covid vaccine passports,right
5445,url_no_6757,26,0,any vaccine created for the new coronavirus will require two doses spaced a month or two apart for full protection against the virus .  ,any vaccine created for the new coronavirus will require two doses spaced a month or two apart for full protection against the virus .  ,"['ani', 'vaccin', 'creat', 'for', 'the', 'new', 'coronaviru', 'will', 'requir', 'two', 'dose', 'space', 'a', 'month', 'or', 'two', 'apart', 'for', 'full', 'protect', 'against', 'the', 'viru', '.']","['ani', 'vaccin', 'creat', 'for', 'the', 'new', 'coronaviru', 'will', 'requir', 'two', 'dose', 'space', 'a', 'month', 'or', 'two', 'apart', 'for', 'full', 'protect', 'against', 'the', 'viru', '.']","['ani', 'vaccin', 'creat', 'for', 'the', 'new', 'coronaviru', 'will', 'requir', 'two', 'dose', 'space', 'a', 'month', 'or', 'two', 'apart', 'for', 'full', 'protect', 'against', 'the', 'viru', '.']","['ani', 'vaccin', 'creat', 'for', 'the', 'new', 'coronaviru', 'will', 'requir', 'two', 'dose', 'space', 'a', 'month', 'or', 'two', 'apart', 'for', 'full', 'protect', 'against', 'the', 'viru', '.']",dispatch.com/zz/news/20200604/fauci-says-hes-optimistic-about-coronavirus-vaccine-protection-but-concerned-how-long-it-will-last?rssfeed=true,fauci says hes optimistic about coronavirus vaccine protection but concerned how long it will last,2020-06-04 10:59:20.000000,columbus_dispatch,anti,cc,False,fauci says hes optimistic about coronavirus vaccine protection but concerned how long it will last,right
7593,url_no_10370,42,0,"if he 'll get the COVID-19 vaccine after NBA commissioner said he will NOT make it mandatory James , 36 , avoided answering if he 'll get the coronavirus vaccine in a lengthy interview ahead of the NBA","if LeBron James 'll get the COVID-19 vaccine after NBA commissioner said LeBron James will NOT make it mandatory James , 36 , avoided answering if LeBron James 'll get the coronavirus vaccine in a lengthy interview ahead of the NBA","['if', 'he', ""'ll"", 'get', 'the', 'covid-19', 'vaccin', 'after', 'nba', 'commission', 'said', 'he', 'will', 'not', 'make', 'it', 'mandatori', 'jame', ',', '36', ',', 'avoid', 'answer', 'if', 'he', ""'ll"", 'get', 'the', 'coronaviru', 'vaccin', 'in', 'a', 'lengthi', 'interview', 'ahead', 'of', 'the', 'nba']","['if', 'lebron', 'jame', ""'ll"", 'get', 'the', 'covid-19', 'vaccin', 'after', 'nba', 'commission', 'said', 'lebron', 'jame', 'will', 'not', 'make', 'it', 'mandatori', 'jame', ',', '36', ',', 'avoid', 'answer', 'if', 'lebron', 'jame', ""'ll"", 'get', 'the', 'coronaviru', 'vaccin', 'in', 'a', 'lengthi', 'interview', 'ahead', 'of', 'the', 'nba']","['if', 'he\', ""\'ll"", \'get', 'the', 'covid-19', 'vaccin', 'after', 'nba', 'commission', 'said', 'he', 'will', 'not', 'make', 'it', 'mandatori', 'jame', ',', '36', ',', 'avoid', 'answer', 'if', 'he\', ""\'ll"", \'get', 'the', 'coronaviru', 'vaccin', 'in', 'a', 'lengthi', 'interview', 'ahead', 'of', 'the', 'nba']","['if', 'lebron', 'jame\', ""\'ll"", \'get', 'the', 'covid-19', 'vaccin', 'after', 'nba', 'commission', 'said', 'lebron', 'jame', 'will', 'not', 'make', 'it', 'mandatori', 'jame', ',', '36', ',', 'avoid', 'answer', 'if', 'lebron', 'jame\', ""\'ll"", \'get', 'the', 'coronaviru', 'vaccin', 'in', 'a', 'lengthi', 'interview', 'ahead', 'of', 'the', 'nba']",dailymail.co.uk/news/article-9336459/LeBron-avoids-answering-hell-COVID-19-vaccine-saying-Ill-private-thing.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,lebron avoids answering if hell get covid19 vaccine saying ill keep that a private thing,2021-03-07 18:50:35.000000,drudgereport,anti,cc,False,lebron avoids answering if hell get covid19 vaccine saying ill keep that a private thing,right
13982,url_no_20092,33,0,NY mandates ALL state workers must get the COVID-19 vaccine or undergo weekly testing,NY mandates ALL state workers must get the COVID-19 vaccine or undergo weekly testing,"['ny', 'mandat', 'all', 'state', 'worker', 'must', 'get', 'the', 'covid-19', 'vaccin', 'or', 'undergo', 'weekli', 'test']","['ny', 'mandat', 'all', 'state', 'worker', 'must', 'get', 'the', 'covid-19', 'vaccin', 'or', 'undergo', 'weekli', 'test']","['ny', 'mandat', 'all', 'state', 'worker', 'must', 'get', 'the', 'covid-19', 'vaccin', 'or', 'undergo', 'weekli', 'test']","['ny', 'mandat', 'all', 'state', 'worker', 'must', 'get', 'the', 'covid-19', 'vaccin', 'or', 'undergo', 'weekli', 'test']",dailymail.co.uk/health/article-9193815/White-House-COVID-task-force-willing-order-pharmaceutical-manufacturers-make-rivals-vaccines.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,white house covid task force willing to order pharmaceutical manufacturers to make rivals vaccines,2021-01-27 14:08:55.000000,drudgereport,anti,cc,False,white house covid task force willing to order pharmaceutical manufacturers to make rivals vaccines,right
3211,url_no_4232,85,0,"that the European Commission has granted conditional marketing authorization ( CMA ) to the companies ’ COVID-19 vaccine , BMT162b2","that the European Commission has granted conditional marketing authorization ( CMA ) to the companies ’ COVID-19 vaccine , BMT162b2","['that', 'the', 'european', 'commiss', 'ha', 'grant', 'condit', 'market', 'author', '(', 'cma', ')', 'to', 'the', 'compani', '’', 'covid-19', 'vaccin', ',', 'bmt162b2']","['that', 'the', 'european', 'commiss', 'ha', 'grant', 'condit', 'market', 'author', '(', 'cma', ')', 'to', 'the', 'compani', '’', 'covid-19', 'vaccin', ',', 'bmt162b2']","['that', 'the', 'european', 'commiss', 'ha', 'grant', 'condit', 'market', 'author', '(', 'cma', ')', 'to', 'the', 'compani', '’', 'covid-19', 'vaccin', ',', 'bmt162b2']","['that', 'the', 'european', 'commiss', 'ha', 'grant', 'condit', 'market', 'author', '(', 'cma', ')', 'to', 'the', 'compani', '’', 'covid-19', 'vaccin', ',', 'bmt162b2']",marketwatch.com/news/story.asp?guid=%7B21005575-02D4-D4B5-4572-D1A46151642C%7D&siteid=rss&rss=1,coronavirus update us covid19 cases deaths and hospitalizations fall again as vaccine reinforcements are coming,2020-12-21 12:41:00.000000,marketwatch,anti,cc,False,coronavirus update us covid19 cases deaths and hospitalizations fall again as vaccine reinforcements are coming,right
6691,url_no_8830,71,0,Related : Pfizer ’s coronavirus vaccine now 95-percent effective,Related : Pfizer ’s coronavirus vaccine now 95-percent effective,"['relat', ':', 'pfizer', '’', 's', 'coronaviru', 'vaccin', 'now', '95-percent', 'effect']","['relat', ':', 'pfizer', '’', 's', 'coronaviru', 'vaccin', 'now', '95-percent', 'effect']","['relat', ':', 'pfizer', '’', 's', 'coronaviru', 'vaccin', 'now', '95-percent', 'effect']","['relat', ':', 'pfizer', '’', 's', 'coronaviru', 'vaccin', 'now', '95-percent', 'effect']",mlive.com/news/2020/12/how-pfizers-coronavirus-vaccine-was-produced-and-distributed-from-michigan-plant-in-record-time.html?utm_campaign=grandrapidspress_sf&utm_medium=social&utm_source=twitter,how pfizers coronavirus vaccine was produced and distributed from michigan plant in record time,2020-12-14 00:00:00.000000,mlive,between,cc,False,how pfizers coronavirus vaccine was produced and distributed from michigan plant in record time,right
4279,url_no_5081,24,0,NY mandates ALL state workers must get the COVID-19 vaccine or undergo weekly testing,NY mandates ALL state workers must get the COVID-19 vaccine or undergo weekly testing,"['ny', 'mandat', 'all', 'state', 'worker', 'must', 'get', 'the', 'covid-19', 'vaccin', 'or', 'undergo', 'weekli', 'test']","['ny', 'mandat', 'all', 'state', 'worker', 'must', 'get', 'the', 'covid-19', 'vaccin', 'or', 'undergo', 'weekli', 'test']","['ny', 'mandat', 'all', 'state', 'worker', 'must', 'get', 'the', 'covid-19', 'vaccin', 'or', 'undergo', 'weekli', 'test']","['ny', 'mandat', 'all', 'state', 'worker', 'must', 'get', 'the', 'covid-19', 'vaccin', 'or', 'undergo', 'weekli', 'test']",dailymail.co.uk/news/article-9093643/Cuomo-threatens-healthcare-center-fraudulently-distributing-vaccine-1million-fine.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,cuomo threatens healthcare center fraudulently distributing vaccine with 1million fine,2020-12-28 17:32:03.000000,drudgereport,anti,cc,False,cuomo threatens healthcare center fraudulently distributing vaccine with 1million fine,right
