	round	batch	sent_id	sentence
31	0	0	t31	The district will use the the COVID-19 vaccine and the uncertainty as to when teachers will receive it as a new goal post to push back a return to in-person learning.
32	0	0	t32	"NHS staff, newly trained recruits and frontline volunteers will administer the jabs The Pfizer vaccine is expected to give immunity to Covid-19 for up to six months."
33	0	0	t33	How well the vaccine works in kids younger than 16 or whether it can prevent long-term health effects of COVID-19.
34	0	0	t34	They'd be more likely to get the Covid-19 vaccine if Dr. Fauci was inoculated first.
35	0	0	t35	They'd put faith in a Covid vaccine if some Hollywood stars and media figures received shots first.
36	0	0	t36	"Neil Ferguson has said high infection rates and the UK's mass vaccine rollout could see herd immunity against the coronavirus achieved before the end of the year, meaning a return to normal by autumn."
37	0	0	t37	"Its COVID-19 vaccine provided strong protection among adults of all ages in a long-anticipated U.S. study, a finding that could help rebuild public confidence in the shot around the world and move it a step closer to clearance in the U.S.  "
38	0	0	t38	"While we plan to run tests to confirm the activity of the vaccine against any strain, the broad range of potential neutralizing antibodies made possible by the Moderna Covid-19 Vaccine provide confidence that our vaccine will also be effective at inducing neutralizing antibodies against them."
39	0	0	t39	"People who received the Pfizer vaccine had very high levels of antibodies to the virus in their systems, suggesting they are unlikely to become carriers that could spread COVID-19."
40	0	0	t40	Clinical examination and lab results have determined the COVID-19 vaccine has been ruled out as a contributing factor in the individual's death.
41	0	0	t41	"Frustration over a limited number of vaccine appointments has resulted in a 20,000-person waiting list for the county's COVID-19 vaccine clinics."
42	0	0	t42	COVID-19 vaccines should not be withheld from pregnant individuals.
43	0	0	t43	Why some vaccine-hesitant Americans decided to get the Covid-19 shotÉ  Couple who hesitated on vaccination share story of having Covid-19.
44	0	0	t44	It would be 'tragic if someone died because of unnecessary conspiracy bulls.
45	0	0	t45	Early they would not allow anyone to criticize this vaccine and anyone who did would be kicked off their platforms right away.
46	0	0	t46	You should still get a COVID-19 vaccine.
47	0	0	t47	Couple dies of COVID after refusing to take vaccine because they distrusted government after 40-year Tuskegee Syphilis Experiment on black men.
48	0	0	t48	COVID vaccine should be MANDATORY in the NBA.
49	0	0	t49	How these drugs interact with the COVID-19 vaccine.
50	0	0	t50	"She believes much of the needle anxiety about the COVID-19 vaccine is related to unfounded myths about the vaccination, such as that the injection implants a government-monitored microchip into your arm."
51	0	0	t51	"The world should suspend the use of the mRNA COVID-19 vaccine represented by Pfizer, as this new technology has not proven safety in large-scale use or in preventing any infectious diseases."
52	0	0	t52	She hoped for a vaccine against the new coronavirus before the autumn.
53	0	0	t53	"I absolutely would be open to taking the vaccine,' said White House press secretary Kayleigh McEnany, 'who has already had the coronavirus'."
54	0	0	t54	"This transfer was in response to my insistence that the government invest the billions of dollars allocated by Congress to address the COVID-19 pandemic into safe and scientifically vetted solutions, and not in drugs, vaccines and other technologies that lack scientific merit."
55	0	0	t55	Having had covid does not make you approximately as unlikely to transmit it as having been vaccinated.
56	0	0	t56	"Lockdown must not be lifted too soon or an uncontrollable third wave of Covid could begin and kill thousands more people, smashing through efforts to protect the country with vaccines."
57	0	0	t57	"It to run rampant , comparing Covid to flu and publicly spreading anti-vaccine myths, hampering the country's pandemic response."
58	0	0	t58	"More than 123 million people, or about 37 % of the U.S. population, have received at least one dose of a COVID-19 vaccine and Dr. Scott Gottlieb, who was FDA commissioner from 2017 to 2019."
59	0	0	t59	FDA may issue emergency use authorizations for some coronavirus vaccines that work in certain populations.
60	0	0	t60	Only 55% of Americans say they are likely to take a Covid-19 vaccine if it were available today.        
61	0	0	t61	Media reports said Amazon has offered to help the Biden administration with Covid vaccine distribution.
62	0	0	t62	"Having a one-dose vaccine will speed efforts to immunize the world against COVID-19, especially given the recent infection spikes in Europe driven by worrying new variants."
63	0	0	t63	The Trump administration had no plan for distributing a vaccine for coronavirus.
64	0	0	t64	Their first shot of the COVID vaccine at city-run sites.
65	0	0	t65	The US is n't even halfway through the coronavirus pandemic as he says a vaccine could be two years away.
66	0	0	t66	She has had the Covid-19 vaccine early.
67	0	0	t67	I'm hoping for a Covid-19 vaccine to be available to healthcare providers some time in December.
68	0	0	t68	That could help it evade vaccines.
69	0	0	t69	It's is in discussions with the FDA and other regulators about the link between its COVID-19 vaccine and Guillain-BarrÃ© syndrome.
70	0	0	t70	He is 'incredibly worried ' about a new South African variant of coronavirus that experts fear might not be caught by the current crop of vaccines.
71	0	0	t71	"Its vaccine was 76 per cent effective in preventing symptomatic coronavirus infections in a US trial, and that studies did not indicate higher risks of clotting."
72	0	0	t72	"She had a 'tiny sense of pride' in helping to prove the jab worked The pair, who both work as journalists , received two shots of either the experimental or placebo vaccine."
73	0	0	t73	The FDA may carve out emergency use authorizations for some coronavirus vaccines.
74	0	0	t74	"That 90 volunteers who've gotten placebo shots had come down with Covid, as compared with just 5 among those who got the vaccine."
75	0	0	t75	It is likely people will need two doses of each vaccine to be protected against the coronavirus.
76	0	0	t76	Protecting older people is a key aim of a successful Covid-19 vaccine as this age group is at greater risk of severe illness from the disease.
77	0	0	t77	"There is a lack of data definitively proving the vaccine works for elderly people but the data they do have suggests it doesn't affect them any less than it does younger people, in whom it is proven to prevent Covid-19."
78	0	0	t78	"Definitely or probably won't get the COVID-19 vaccine, according to a new poll conducted by NORC Center for Public Affairs Research in collaboration with the Associated Press."
79	0	0	t79	She would not trust a vaccine for COVID-19 based solely on President Donald Trump's word.
80	0	0	t80	The second COVID-19 vaccine approved for use by US regulators will reach healthcare providers as soon as Monday to begin vaccinating Americans against the deadly virus.
81	0	0	t81	"Projections for cigarette smoking in 2021 would depend on the success of the COVID-19 vaccine rollout, and behavioral shifts among vaccinated individuals."
82	0	0	t82	"The Pfizer and Moderna Covid-19 vaccines are less effective against the variant first found in South Africa, backing up similar findings from Moderna last month."
83	0	0	t83	"German newspaper Handelsblatt continued to run this this headline prominently on its website today, saying: 'Setback to coronavirus vaccine : AstraZeneca vaccine appears to hardly work on seniors'."
84	0	0	t84	The state is penalizing tens of thousands of people waiting for the COVID-19 vaccine after slashing the number of doses it sent to North Texas's two largest counties.
85	0	0	t85	"If the U.S. military could be maneuvered into injecting all U.S. soldiers with a dangerous, deadly, vaccine, (actually, a nanotech weapon delivery system) as a knee-jerk reaction to the coronavirus pandemic, it could weaken U.S. military readiness at the exact moment."
86	0	0	t86	They would not get a vaccine against coronavirus even if it were to be free and approved by the FDA.
87	0	0	t87	They have confidence in their state government to deliver the COVID-19 vaccine to their community.
88	0	0	t88	A COVID-19 vaccine shot in the arm.
89	0	0	t89	I could bridge that gap and show that the science we have so far on this vaccine shows the risks of getting the vaccine is lower than COVID-19.
90	0	0	t90	They use a synthetic copy of the coronavirus's genetic material.
91	0	0	t91	"Despite stock-market rally, investors are not fully convinced vaccines will tame COVID in 2021."
92	0	0	t92	He plans to get a COVID-19 vaccine when it's his turn.
93	0	0	t93	PIV5 might also be a good candidate for delivering a vaccine against coronaviruses in humans.
94	0	0	t94	At least 100 million COVID vaccine shots.
95	0	0	t95	"Two thirds (66.5%) of healthcare workers intend to delay vaccination, meaning they do not intend to get the COVID vaccine when it becomes available."
96	0	0	t96	"The rare clotting experienced after the COVID-19 vaccines resembles a condition seen in patients who are treated with the blood thinner, heparin."
97	0	0	t97	The AstraZeneca vaccine is safe and effective and that the protection it offers against COVID-19 outweighs the small risks of rare blood clots.
98	0	0	t98	A coronavirus vaccine might not be fully effective for older Americans with weakened immune systems.
99	0	0	t99	The nation's billion-dollar coronavirus vaccine effort is in its final stages and that the country's top doctors and scientists have been working around the clock since last January to come up with an effective product.
100	0	0	t100	All COVID-19 vaccines are supported by high quality trials that are sound and conducted in an ethical manner.
101	0	0	t101	He tried to ruin hundreds of doses of coronavirus vaccine.
102	0	0	t102	"Why they are going to such desperate lengths to silence vaccine skeptics, censor doctors and scientists, and coerce as many people as possible into getting the vaccine injection."
103	0	0	t103	Vice President Mike Pence received his coronavirus vaccine on Friday in an effort to ensure public trust in the Warp Speed product.
104	0	0	t104	"Its two-dose COVID-19 vaccine is 90% effective, according to a press release on Novavax's website."
105	0	0	t105	"The coronavirus vaccine could be ready within the first months of 2021 if proven safe, ending the pandemic."
106	0	0	t106	The vaccine caught coronavirus.
107	0	0	t107	It was concerned by information released by AstraZeneca on initial data from its Covid vaccine clinical trial.
108	0	0	t108	It had suspended the use of a batch of AstraZeneca vaccines after a 49-year-old nurse died of 'severe blood coagulation problems' days after receiving an anti-Covid shot.
109	0	0	t109	"He would not make getting the Covid-19 vaccine compulsory, when it becomes available."
110	0	0	t110	We expected that a side effect like this could occur after reports of anaphylaxis were made in England after people there received the Pfizer-BioNTech COVID-19 vaccine.
111	0	0	t111	"While most children are relatively unaffected by coronavirus and are unlikely to become unwell with the infection, it is important to establish the safety and immune response to the vaccine in children and young people as some children may benefit from vaccination."
112	0	0	t112	The way COVID vaccines are being promoted and the idea that everybody needs to be vaccinated is unscientific and suspicious.
113	0	0	t113	"They are likely to level off in a week - 10 days maybe - at a peak which is probably going to be bigger than the first wave peak of 1,000-a-day , but then should decline due the reductions in cases that we are seeing and, of course, the vaccine programme."
114	0	0	t114	He was floored for days by side effects from his second jab of the Pfizer coronavirus vaccine.
115	0	0	t115	The jab is nearly 95 per cent effective.
116	0	0	t116	Whether this blood disorder is related to the Covid vaccines.
117	0	0	t117	"You can, absolutely, transmit the coronavirus after getting vaccinated, the vaccine has never been studied to prevent transmission of the virus."
118	0	0	t118	There is currently no evidence of a link Italian prosecutors have opened a manslaughter investigation after a music teacher died at the weekend shortly after receiving AstraZeneca's Covid vaccine.
119	0	0	t119	"COVID-19 vaccines will be provided free to Americans, whether they have health insurance , are uninsured or are covered by government health programs such as Medicare."
120	0	0	t120	"Covid-19 vaccines are not required by law, and individual inoculation records are private health information."
121	0	0	t121	"Priority distribution of the coronavirus vaccine, once approved, should be given to minorities."
122	0	0	t122	It would know if its vaccine was effective by October but shifted that timeline last month to say it expects to seek US authorization from the FDA in the third week of November for emergency use of the vaccine.
123	0	0	t123	Covid deaths recorded during the second wave are falling faster than in the first as the vaccines take effect .                        
124	0	0	t124	"Their COVID-19 vaccine candidate was found to be more than 90% effective in preventing COVID-19, which is sparking a strong rally for the broader market amid hope that the vaccine can prompt a return of normal economic activity."
125	0	0	t125	The vaccine is expected to provide immunity from the coronavirus for up to two years.
126	0	0	t126	"Vaccine is a personal decision, after member dies of COVID."
127	0	0	t127	It was safe and provoked immune responses in all 45 healthy volunteers in an ongoing early - stage study.
128	0	0	t128	The virus is able to bind to human cells stronger than the SARS coronavirus but also noted the spike proteins can be targeted in the creation of a vaccine or treatment.
129	0	0	t129	Pfizer's coronavirus vaccine now 95-percent effective.
130	0	0	t130	They d be more inclined to take a COVID-19 vaccine if they could watch.
131	0	0	t131	"Pfizer's Covid-19 vaccine sales will create very strong growth in 2021, but likely weigh on growth by 2023 as competitive vaccines erode pricing and demand for Pfizer's vaccine."
132	0	0	t132	There is still uncertainty over the effectiveness of COVID-19 vaccines on the South African variant of the virus.
133	0	0	t133	Covid survivors have three times the antibody response to a single dose of the vaccine.
134	0	0	t134	The company has removed millions of pieces of COVID-19 and vaccine misinformation and tries to combat 'vaccine hesitancy' by regularly directing users to reliable information from health authorities.
135	0	0	t135	Pregnant women do not get the vaccine because there is no data as yet on the safety of Covid-19 vaccines in pregnancy.
136	0	0	t136	The vaccine significantly reduces the risk of people testing positive for coronavirus or getting sick with Covid-19.
137	0	0	t137	A coronavirus vaccine could trigger an immune response that lasts for much longer than the natural protection derived from fighting off the infection.
138	0	0	t138	"The FDA did not find that the vaccine was responsible for the two cases, though it could not rule out a link either."
139	0	0	t139	That 42 per cent of U.S. adults would be more likely to get the Covid-19 vaccine if Dr. Anthony Fauci went first.
140	0	0	t140	"These vaccines are safe, they 're effective against Covid, they 'll protect you, they 'll protect your loved ones, and of course they'll help get society back to normal again."
141	0	0	t141	"She said she tested positive and has minor, cold -like symptoms Coleman received first dose of COVID vaccine During Wednesday's attack on Capitol Hill, lawmakers were rushed to an undisclosed location and held together for their own safety."
142	0	0	t142	These guiding principles established by the Expert Vaccine Allocation Panel will ensure that the State of Texas swiftly distributes the COVID-19 vaccine to Texans who voluntarily choose to be immunized.
143	0	0	t143	Oxford University 's coronavirus vaccine triggers a 'robust' immune response in the elderly.
144	0	0	t144	"Serious adverse events, including deaths that are unrelated to the vaccine are unfortunately likely to occur at a similar rate as they would in the general population."
145	0	0	t145	A coronavirus vaccine would not trigger an immune reaction against this protein.
146	0	0	t146	Data from Phase 2 clinical trials showed that a single booster shot of its COVID vaccine in people who are already vaccinated is efficacious against the original coronavirus strain and the variants first detected in South Africa and Brazil.
147	0	0	t147	"Its coronavirus vaccine candidate being developed with the University of Oxford can reach efficacy of around 90% , adding to a list of drugmakers, including Pfizer-BioNTech BNTX , +10.37 % and Moderna MRNA , +6.34 % , racing to advance a viable vaccine."
148	0	0	t148	They would not get a COVID-19 vaccine.
149	0	0	t149	"Vaccines for measles are safe, suggesting that people are doubtful about a rushed vaccine for COVID-19."
150	0	0	t150	They had varying levels of confidence in a coronavirus vaccine and expressed degrees of hesitation about whether they would get one During interviews with CBS News.
151	0	0	t151	Had yet to have their first dose of Covid-19 vaccine at the start of this week.
152	0	0	t152	The U.S. will have enough COVID-19 vaccine by the end of the summer to inoculate 300 million Americans.
153	0	0	t153	Severe allergies should be added to the possible side effects of AstraZeneca's coronavirus vaccine.
154	0	0	t154	"It supports waiving patent protections for the Covid-19 vaccines as a way to expand worldwide production, a significant blow to drugmakers who have staunchly resisted encroachments on their lucrative intellectual property."
155	0	0	t155	"Mixing Pfizer and AstraZeneca COVID-19 vaccines increases mild side effects but is safe, study shows."
156	0	0	t156	You are soon going to be forced to submit to inoculation with an experimental gene-altering injection that really is not a vaccine regardless of whether you already have antibodies against COVID-19 or not.
157	0	0	t157	All nations should work together to develop and ensure fair access to a Covid-19 vaccine because 'no -one is safe until everyone is safe'.
158	0	0	t158	"Covering every manifestation of Covid disease would require trials so large, that run for such long times, that they are very likely to be impossible to run and fund, and would delay the data so long that we'd be living without any vaccine-mediated intervention for years to come."
159	0	0	t159	"Its expert panel is not prohibited from recommending unlicensed shots for use and that currently authorized Covid-19 vaccines are included in its schedule, a federally-recommended series of shots."
160	0	0	t160	The benefits of the COVID-19 vaccine still outweigh the risks of possible side effects.
161	0	0	t161	"The vaccine is about 66% effective overall at preventing moderate to severe COVID-19, paving the way for the U.S. Food and Drug Administration to grant emergency use authorization within the week."
162	0	0	t162	Russia has won the global race to be the first country to produce and officially register an effective vaccine against the COVID-19 coronavirus.
163	0	0	t163	It injects a damaged version of the coronavirus itself into the body.
164	0	0	t164	Pfizer's Covid vaccine offers 'partial immunity' within just twelve days of getting the first dose.
165	0	0	t165	The risks of the vaccine are far outweighed by the risks of becoming ill with COVID-19.
166	0	0	t166	These are the stocks to short when a COVID vaccine is ready.
167	0	0	t167	No vaccine has ever led to infertility and there was no reason the Covid ones would do so. 
168	0	0	t168	"It was 95 % effective in preventing COVID-19, with no serious side effects."
169	0	0	t169	COVID-19 vaccines may be somewhat vulnerable to the California's Epsilon strain of virus.
170	0	0	t170	Teachers do not need to receive the coronavirus vaccine in order to reopen safely.
171	0	0	t171	We are delighted to be able to give a positive recommendation for the Moderna vaccine which will help in the roll-out of the Covid vaccination programme.
172	0	0	t172	De Blasio offering cash in latest plea to unvaccinated New Yorkers.
173	0	0	t173	The Baltimore factory contracted to make Johnson & Johnson's COVID-19 vaccine was dirty.
174	0	0	t174	ministers are mulling a ' Covid clear ' system for people to prove they have tested negative or had a vaccine help open up pubs and sporting events.
175	0	0	t175	any vaccine created for the new coronavirus will require two doses spaced a month or two apart for full protection against the virus .  
176	0	0	t176	"If he'll get the COVID-19 vaccine after NBA commissioner said he will NOT make it mandatory James, 36, avoided answering if he'll get the coronavirus vaccine in a lengthy interview ahead of the NBA."
177	0	0	t177	Pfize's coronavirus vaccine now 95-percent effective.
178	0	0	t178	"It will conduct a clinical trial of allergic reactions to the COVID-19 vaccines from Moderna and Pfizer, specifically ""to determine whether people who are highly allergic or have a mast cell disorder are at increased risk for an immediate , systemic allergic reaction"" after receiving either vaccine."
179	0	0	t179	They had already received or planned to receive the coronavirus vaccine.
180	0	0	t180	"She ""can not think of a theoretical reason"" COVID-19 vaccines would cause infertility, and many of her pregnant patients have received a vaccine."
181	0	0	t181	There's almost no chance a vaccine for COVID-19 will work at all.
182	0	0	t182	"People who work in environments saturated in high levels of EM, such as those who work in hospitals, are at risk, especially if they take the Covid vaccine."
183	0	0	t183	"While coronavirus vaccines would not be mandatory, some businesses may ask for proof of vaccination before entry or service is permitted."
184	0	0	t184	How Johnson & Johnson was forced to halt another coronavirus vaccine trial after a trial participant experienced an unexplained illness
185	0	0	t185	"Official approval is expected this month; Covid vaccines could become an annual necessity if the virus sticks around for years to come and could be rolled into one with the flu jab, Ms Bingham said."
186	0	0	t186	The CDC is examining the case of a woman who died after getting the Johnson & Johnson COVID-19 vaccine.
187	0	0	t187	When and if a new coronavirus vaccine is introduced it will be really important that it is made clear how many adverse events were reported in the placebo group as well as the vaccine group so that people do not chalk up all adverse events that happen to occur in the vaccine group as occurring due to the vaccine.
188	0	0	t188	That people should still go and get their Covid-19 vaccine when asked to do so.
189	0	0	t189	"Anyone who has a history of 'significant' allergic reactions to medicines, food or vaccines should not get the Pfizer coronavirus jab."
190	0	0	t190	There have been no documented deaths linked to COVID-19 vaccines
191	0	0	t191	We are still firmly convinced that the benefits of the AstraZeneca vaccine in preventing Covid-19 with its associated risk of hospitalisation and death outweigh the risk of these side effects.
192	0	0	t192	"Ford took a crucial step to ensure its workers have access to a coronavirus vaccine, when pharma companies and the US government roll it out nationally, with the purchase of 12 freezers."
193	0	0	t193	Covid vaccines might ...     
194	0	0	t194	They do not trust COVID-19 vaccines.
195	0	0	t195	In the long run the best way to defeat coronavirus is through a vaccine.
196	0	0	t196	its inoculation candidate was 94.5 percent effective.
197	0	0	t197	"Anti-COVID vaccine sentiment is the result of 'a massive assault on trust in government, in science and in public-health authorities."
198	0	0	t198	It is not appropriate to compare the risk of clotting associated with the Johnson & Johnson COVID vaccine with the risk of clotting among some hormonal birth control methods.
199	0	0	t199	"There are four tests for reopening the country: the success of the vaccine roll-out, evidence that Covid jabs are reducing hospitalisations, infection rates not putting 'unsustainable pressure' on the NHS, and whether the risks are 'fundamentally changed' by new variants."
200	0	0	t200	"Twenty-three people died in Norway within days of receiving their first dose of the Pfizer COVID-19 vaccine, with 13 of those deaths, all nursing home patients, apparently related to the side effects of the shots."
201	0	0	t201	At least 13 people have died from complications after receiving the Pfizer coronavirus vaccine.
202	0	0	t202	They are likely to get their children vaccinated against Covid-19 when a vaccine becomes available for their age group.
203	0	0	t203	How does the coronavirus vaccine work.
204	0	0	t204	The Pfizer vaccine offers up to 95 percent protection against Covid-19.
205	0	0	t205	"Only half their staff, which includes doctors and nurses along with support worker, are fully vaccinated...  COVID-19, vaccine, hospital workers, herd immunity."
206	0	0	t206	The ability to trigger these immune responses does not necessarily indicate that the vaccine will protect humans from COVID-19.
207	0	0	t207	This pledge will help ensure public confidence in the rigorous scientific and regulatory process by which COVID-19 vaccines are evaluated and may ultimately be approved.
208	0	0	t208	The agency should warn Americans that the side effects from a COVID-19 vaccine wo not be a walk in the park.
209	0	0	t209	People should still go and get their COVID-19 vaccine when asked to do so.
210	0	0	t210	Door-to-door outreach and vaccine requirements at work would help curb coronavirus spread.
211	0	0	t211	An elderly man died shortly after getting a COVID-19 vaccine in New York City.
212	0	0	t212	The ability to trigger these immune responses does not necessarily indicate that the vaccine will protect humans from Covid-19.
213	0	0	t213	I think it's a really strong rationale for why people who were previously infected with COVID should be getting the vaccine.
214	0	0	t214	"More than 5k new daily COVID cases and hospitalizations have dropped by up to a half since January, as Biden announces US is on track to have enough vaccines for every adult by the end of MAY Only Florida, New York, and Texas reported more than 5,000 new COVID-19 cases on Tuesday Nationwide."
215	0	0	t215	"COVID vaccines are safe and effective and ""millions of people in the United States have received COVID-19 vaccines under the most intense safety monitoring in U.S. history ."" "
216	0	0	t216	White House officials are devising ways to fight the spread of dangerous falsehoods about Covid-19 vaccines.
217	0	0	t217	"It found a possible link between the AstraZeneca coronavirus vaccine and a rare clotting disorder but declined to impose any new age restrictions, saying the benefits of the shot still outweigh risks."
218	0	0	t218	If you have had Covid before your first vaccine it is behaving a bit like the second one like a booster.
219	0	0	t219	Oxford study chief-as US experts find their own jab triggered antibody levels THREE times higher than in recovered patients.
220	0	0	t220	Covid-19 vaccines may not prevent people from getting severely sick or dying.
221	0	0	t221	Covid vaccine roll-out is pointless.
222	0	0	t222	"The serious risk disease and death from COVID-19, if we experience another severe outbreak is far greater than the very small potential risk of a very rare clotting disorder associated with the vaccine."
223	0	0	t223	The ZOE Covid-19 Symptom Study app revealed that 33 per cent who had previously contracted the virus experienced one or more mild side effects after seven days compared to 19 per cent of non-Covid sufferers.
224	0	0	t224	"Right now, the known and potential benefits of the current Covid-19 vaccines outweigh the known and potential risks of getting Covid-19  Dr. Nancy Messonnier, head of the CDC 's National Center for Immunization and Respiratory Diseases."
225	0	0	t225	They are not designed to save lives or stop the transfer of covid.
226	0	0	t226	The Covid-19 vaccines are completely risk-free.
227	0	0	t227	"Their coronavirus vaccine is up to 90% effective when administered as a half dose, and then a full dose one month later."
228	0	0	t228	"There's a lot of misinformation in terms of what's happening with COVID, vaccines and treatment."
229	0	0	t229	"It is probably 100,000 times more likely [ for someone ] to die of Covid than because of an AstraZeneca vaccine."
230	0	0	t230	"With a careful jab in a healthy volunteer' arm, scientists at the Kaiser Permanente Washington Research Institute in Seattle [on Monday] begin an anxiously awaited first-stage study of a potential [coronavirus or] COVID-19 vaccine developed in record time after the new virus exploded from China and fanned across the globe. "
231	0	0	t231	Covid vaccines have not caused ANY serious side effects in teenagers in Israel.
232	0	0	t232	Athletes should get COVID-19 vaccine first.     
233	0	0	t233	They want to delay getting a Covid vaccine until they know more information or even refuse it altogether.       
234	0	0	t234	None of the hundreds of Israeli teenagers who received the Pfizer Covid vaccine suffered serious side effects.
235	0	0	t235	They died of COVID when they actually died of other underlying issuesâ to put a vaccine into my body that hasn't been tested.
236	0	0	t236	Both Pfizer's and Moderna's Covid-19 vaccines require two doses and she worries whether her patients will come back for a second dose because of potentially unpleasant side effects after the first.
237	0	0	t237	COVID-19 vaccine is 100 percent effective in children as young as 12 years old.   
238	0	0	t238	"It could eventually combine the flu, RSV, and COVID booster vaccines into one shot."
239	0	0	t239	Some coronavirus vaccine candidates currently under development could increase susceptibility to HIV
240	0	0	t240	"It found a ""possible link"" between Johnson & Johnson's COVID-19 vaccine and extremely rare blood clots and recommended a warning be added to the label."
241	0	0	t241	"The presence of Gold, a physician known for spreading misinformation about COVID-19 and openly protesting coronavirus vaccines and government shutdowns throughout the pandemic at the Capitol on Jan. 6 was also captured in videos taken by surveillance cameras as well as members of the press."
242	0	0	t242	"Based on current experience, the expected benefits of both Covid-19 vaccines in preventing Covid-19 and its serious complications far outweigh any known side effects."
243	0	0	t243	"A COVID-19 vaccine will only be approved for use if it has met robust standards on safety , effectiveness and quality through clinical trials."
244	0	0	t244	Trying to accelerate the scientific process of creating a COVID-19 vaccine can present risks.
245	0	0	t245	The vaccines prevent people from catching coronavirus.
246	0	0	t246	"Right now, as the weeks go by, we see more and more that not only are these vaccines efficacious but, in the community, they are extremely effective in preventing infection with SARS - CoV-2."
247	0	0	t247	"Any potential coronavirus vaccine, when available, can be produced quickly and at scale so it can be made available to the public as quickly as possible."
248	0	0	t248	"Around 40 million COVID-19 vaccine doses will be available by the end of December, with shipments of 5 million to 10 million doses being made per week once a vaccine is authorized by regulators."
249	0	0	t249	"It's unconscionable for AOC, who 's 30 years old , to be smiling gleefully and getting the vaccine when you got 85-year-old people in nursing homes who haven't gotten it."
250	0	0	t250	"Based on data from the first weeks of the rollout of COVID-19 vaccines, the vaccines are safe and any side effects are mild and short lasting."
251	0	0	t251	"It has finished enrolling 300 younger adults in its second stage of testing, and has begun studying how older adults react to the vaccine."
252	0	0	t252	Any developing vaccine for COVID-19 be free from any connection to abortion.
253	0	0	t253	"If companies make a good return on their involvement , it will encourage the industry to keep improving COVID-19 vaccines, assuming the first one to win approval wo n't be perfect."
254	0	0	t254	It may be too soon to understand the vaccines' effects on long-term Covid-19 symptoms.
255	0	0	t255	Couple dies of COVID after refusing to take vaccine because they distrusted government after 40-year Tuskegee Syphilis Experiment on black men.
256	0	0	t256	"While the development of multiple safe, highly effective COVID-19 vaccines has been a scientific miracle, the decision to receive the vaccine should be left up to each individual."
257	0	0	t257	"He did not think this day would come so soon, 10 months after Covid-19 was discovered, as opposed to the more normal 10 years taken to develop vaccines."
258	0	0	t258	"Its vaccine was between 93% moderna , coronavirus , vaccine , teens , effective."
259	0	0	t259	Almost all cases of Covid are prevented with two doses of the Pfizer vaccine.
