,guid,sent_no,quote_no,quote_text,coref,quote_stems,quote_stems_coref,quote_stem_list,quote_stem_list_coref,url,title,date,domain,stance,topic,is_AP,reg_title,leaning,annotator_r,annotator_p,annotator_a,annotator_s 
7558,url_no_10223,166,1,They are likely to get their children vaccinated against Covid-19 when a vaccine becomes available for their age group.,Some 52% of parents are likely to get Some 52% of parents children vaccinated against Covid-19 when a vaccine becomes available for Some 52% of parents age group,"['they', 'are', 'like', 'to', 'get', 'their', 'children', 'vaccin', 'against', 'covid-19', 'when', 'a', 'vaccin', 'becom', 'avail', 'for', 'their', 'age', 'group']","['some', '52', '%', 'of', 'parent', 'are', 'like', 'to', 'get', 'some', '52', '%', 'of', 'parent', 'children', 'vaccin', 'against', 'covid-19', 'when', 'a', 'vaccin', 'becom', 'avail', 'for', 'some', '52', '%', 'of', 'parent', 'age', 'group']","['they', 'are', 'like', 'to', 'get', 'their', 'children', 'vaccin', 'against', 'covid-19', 'when', 'a', 'vaccin', 'becom', 'avail', 'for', 'their', 'age', 'group']","['some', '52', '%', 'of', 'parent', 'are', 'like', 'to', 'get', 'some', '52', '%', 'of', 'parent', 'children', 'vaccin', 'against', 'covid-19', 'when', 'a', 'vaccin', 'becom', 'avail', 'for', 'some', '52', '%', 'of', 'parent', 'age', 'group']",ocregister.com/2021/05/05/kids-and-the-covid-19-vaccine-a-pediatrician-answers-safety-questions/,kids and the covid19 vaccine a pediatrician answers safety questions,33:28.0,orange_county_register,between,cc,FALSE,kids and the covid19 vaccine a pediatrician answers safety questions,right,agree,disagree,Agree,neutral
4033,url_no_4878,91,0,How does the coronavirus vaccine work.,How does the coronavirus vaccine work,"['how', 'doe', 'the', 'coronaviru', 'vaccin', 'work']","['how', 'doe', 'the', 'coronaviru', 'vaccin', 'work']","['how', 'doe', 'the', 'coronaviru', 'vaccin', 'work']","['how', 'doe', 'the', 'coronaviru', 'vaccin', 'work']",mlive.com/news/2020/12/covid-19-vaccine-is-not-a-golden-ticket-to-normalcy-in-michigan-schools-yet.html?utm_source=twitter&utm_campaign=mlivenews_sf&utm_medium=social,covid19 vaccine is not a golden ticket to normalcy in michigan schools  yet,00:00.0,mlive,between,cc,FALSE,covid19 vaccine is not a golden ticket to normalcy in michigan schools yet,right,neutral,disagree,Agree,neutral
8969,url_no_12249,39,1,The Pfizer vaccine offers up to 95 percent protection against Covid-19.,The Pfizer vaccine offers up to 95 percent protection against Covid-19,"['the', 'pfizer', 'vaccin', 'offer', 'up', 'to', '95', 'percent', 'protect', 'against', 'covid-19']","['the', 'pfizer', 'vaccin', 'offer', 'up', 'to', '95', 'percent', 'protect', 'against', 'covid-19']","['the', 'pfizer', 'vaccin', 'offer', 'up', 'to', '95', 'percent', 'protect', 'against', 'covid-19']","['the', 'pfizer', 'vaccin', 'offer', 'up', 'to', '95', 'percent', 'protect', 'against', 'covid-19']",dailymail.co.uk/news/article-9127741/Nurse-catches-Covid-three-weeks-getting-vaccine.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,nurse catches covid three weeks after getting vaccine,40:01.0,drudgereport,anti,cc,FALSE,nurse catches covid three weeks after getting vaccine,right,agree,agree,Agree,neutral
11395,url_no_15479,88,0,"That only half their staff, which includes doctors and nurses along with support worker, are fully ...   COVID-19, vaccine , hospital workers , herd immunity.","that only half some hospitals staff , which includes doctors and nurses along with support workers , are fully ...   COVID-19 , vaccine , hospital workers , herd immunity           788   Thursday , 03 June 2021","['that', 'onli', 'half', 'their', 'staff', ',', 'which', 'includ', 'doctor', 'and', 'nurs', 'along', 'with', 'support', 'worker', ',', 'are', 'fulli', '...', 'covid-19', ',', 'vaccin', ',', 'hospit', 'worker', ',', 'herd', 'immun', '788', 'thursday', ',', '03', 'june', '2021']","['that', 'onli', 'half', 'some', 'hospit', 'staff', ',', 'which', 'includ', 'doctor', 'and', 'nurs', 'along', 'with', 'support', 'worker', ',', 'are', 'fulli', '...', 'covid-19', ',', 'vaccin', ',', 'hospit', 'worker', ',', 'herd', 'immun', '788', 'thursday', ',', '03', 'june', '2021']","['that', 'onli', 'half', 'their', 'staff', ',', 'which', 'includ', 'doctor', 'and', 'nurs', 'along', 'with', 'support', 'worker', ',', 'are', 'fulli', '...', 'covid-19', ',', 'vaccin', ',', 'hospit', 'worker', ',', 'herd', 'immun', '788', 'thursday', ',', '03', 'june', '2021']","['that', 'onli', 'half', 'some', 'hospit', 'staff', ',', 'which', 'includ', 'doctor', 'and', 'nurs', 'along', 'with', 'support', 'worker', ',', 'are', 'fulli', '...', 'covid-19', ',', 'vaccin', ',', 'hospit', 'worker', ',', 'herd', 'immun', '788', 'thursday', ',', '03', 'june', '2021']",newsmax.com/health/health-news/COVID-19-vaccine-hospital-workers-herd-immunity/2021/06/03/id/1023825,surprising number of hospital workers refuse the covid19 vaccine,08:54.0,newsmax,anti,cc,FALSE,surprising number of hospital workers refuse the covid19 vaccine,right,disagree,neutral,Disagree,neutral
3299,url_no_4288,60,1,The ability to trigger these immune responses does not necessarily indicate that the vaccine will protect humans from COVID-19.,the ability to trigger these immune responses does not necessarily indicate that the vaccine will protect humans from COVID-19,"['the', 'abil', 'to', 'trigger', 'these', 'immun', 'respons', 'doe', 'not', 'necessarili', 'indic', 'that', 'the', 'vaccin', 'will', 'protect', 'human', 'from', 'covid-19']","['the', 'abil', 'to', 'trigger', 'these', 'immun', 'respons', 'doe', 'not', 'necessarili', 'indic', 'that', 'the', 'vaccin', 'will', 'protect', 'human', 'from', 'covid-19']","['the', 'abil', 'to', 'trigger', 'these', 'immun', 'respons', 'doe', 'not', 'necessarili', 'indic', 'that', 'the', 'vaccin', 'will', 'protect', 'human', 'from', 'covid-19']","['the', 'abil', 'to', 'trigger', 'these', 'immun', 'respons', 'doe', 'not', 'necessarili', 'indic', 'that', 'the', 'vaccin', 'will', 'protect', 'human', 'from', 'covid-19']",nypost.com/2020/05/22/coronavirus-vaccine-gets-positive-results-in-first-human-trial/,coronavirus vaccine gets positive results in first human trial,15:37.0,new_york_post,anti,cc,FALSE,coronavirus vaccine gets positive results in first human trial,right,disagree,neutral,Disagree,neutral
6447,url_no_8424,82,1,This pledge will help ensure public confidence in the rigorous scientific and regulatory process by which COVID-19 vaccines are evaluated and may ultimately be approved.,this pledge will help ensure public confidence in the rigorous scientific and regulatory process by which COVID-19 vaccines are evaluated and may ultimately be approved,"['thi', 'pledg', 'will', 'help', 'ensur', 'public', 'confid', 'in', 'the', 'rigor', 'scientif', 'and', 'regulatori', 'process', 'by', 'which', 'covid-19', 'vaccin', 'are', 'evalu', 'and', 'may', 'ultim', 'be', 'approv']","['thi', 'pledg', 'will', 'help', 'ensur', 'public', 'confid', 'in', 'the', 'rigor', 'scientif', 'and', 'regulatori', 'process', 'by', 'which', 'covid-19', 'vaccin', 'are', 'evalu', 'and', 'may', 'ultim', 'be', 'approv']","['thi', 'pledg', 'will', 'help', 'ensur', 'public', 'confid', 'in', 'the', 'rigor', 'scientif', 'and', 'regulatori', 'process', 'by', 'which', 'covid-19', 'vaccin', 'are', 'evalu', 'and', 'may', 'ultim', 'be', 'approv']","['thi', 'pledg', 'will', 'help', 'ensur', 'public', 'confid', 'in', 'the', 'rigor', 'scientif', 'and', 'regulatori', 'process', 'by', 'which', 'covid-19', 'vaccin', 'are', 'evalu', 'and', 'may', 'ultim', 'be', 'approv']",nypost.com/2020/09/09/alex-azar-says-any-covid-19-vaccine-would-meet-fda-standards/,hhs secretary alex azar says covid19 vaccine would meet fda standards,15:54.0,new_york_post,anti,cc,FALSE,hhs secretary alex azar says covid19 vaccine would meet fda standards,right,agree,agree,Agree,agree
7890,url_no_10939,48,0,The agency should warn Americans that the side effects from a COVID-19 vaccine wo not be a walk in the park.,that the agency should warn Americans that the side effects from a COVID-19 vaccine wo n’t be “ a walk in the park,"['that', 'the', 'agenc', 'should', 'warn', 'american', 'that', 'the', 'side', 'effect', 'from', 'a', 'covid-19', 'vaccin', 'wo', 'n', '’', 't', 'be', '“', 'a', 'walk', 'in', 'the', 'park']","['that', 'the', 'agenc', 'should', 'warn', 'american', 'that', 'the', 'side', 'effect', 'from', 'a', 'covid-19', 'vaccin', 'wo', 'n', '’', 't', 'be', '“', 'a', 'walk', 'in', 'the', 'park']","['that', 'the', 'agenc', 'should', 'warn', 'american', 'that', 'the', 'side', 'effect', 'from', 'a', 'covid-19', 'vaccin', 'wo', 'n', '’', 't', 'be', '“', 'a', 'walk', 'in', 'the', 'park']","['that', 'the', 'agenc', 'should', 'warn', 'american', 'that', 'the', 'side', 'effect', 'from', 'a', 'covid-19', 'vaccin', 'wo', 'n', '’', 't', 'be', '“', 'a', 'walk', 'in', 'the', 'park']",nypost.com/2020/11/25/cdc-should-warn-people-about-covid-19-vaccine-side-effects-experts/,medical experts urge cdc to warn people of covid19 vaccine side effects,59:50.0,new_york_post,anti,cc,FALSE,medical experts urge cdc to warn people of covid19 vaccine side effects,right,disagree,neutral,Disagree,disagree
3506,url_no_4450,97,0,People should still go and get their COVID-19 vaccine when asked to do so.,"People should still go and get People COVID-19 vaccine when asked to do so ,","['peopl', 'should', 'still', 'go', 'and', 'get', 'their', 'covid-19', 'vaccin', 'when', 'ask', 'to', 'do', 'so', ',']","['peopl', 'should', 'still', 'go', 'and', 'get', 'peopl', 'covid-19', 'vaccin', 'when', 'ask', 'to', 'do', 'so', ',']","['peopl', 'should', 'still', 'go', 'and', 'get', 'their', 'covid-19', 'vaccin', 'when', 'ask', 'to', 'do', 'so', ',']","['peopl', 'should', 'still', 'go', 'and', 'get', 'peopl', 'covid-19', 'vaccin', 'when', 'ask', 'to', 'do', 'so', ',']",dailymail.co.uk/news/article-9369211/Karl-Stefanovic-calls-federal-senator-demanded-AstraZeneca-rollout-scrapped.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,covid australia karl stefanovic slams senator who demanded astrazeneca vaccine rollout pause,37:55.0,drudgereport,anti,cc,FALSE,covid australia karl stefanovic slams senator who demanded astrazeneca vaccine rollout pause,right,agree,disagree,Agree,agree
7565,url_no_10283,168,1,Door-to-door outreach and vaccine requirements at work would help curb coronavirus spread.,Door - to - door outreach and vaccine requirements at work would help curb coronavirus spread,"['door', '-', 'to', '-', 'door', 'outreach', 'and', 'vaccin', 'requir', 'at', 'work', 'would', 'help', 'curb', 'coronaviru', 'spread']","['door', '-', 'to', '-', 'door', 'outreach', 'and', 'vaccin', 'requir', 'at', 'work', 'would', 'help', 'curb', 'coronaviru', 'spread']","['door', '-', 'to', '-', 'door', 'outreach', 'and', 'vaccin', 'requir', 'at', 'work', 'would', 'help', 'curb', 'coronaviru', 'spread']","['door', '-', 'to', '-', 'door', 'outreach', 'and', 'vaccin', 'requir', 'at', 'work', 'would', 'help', 'curb', 'coronaviru', 'spread']",news.google.com/__i/rss/rd/articles/CBMibWh0dHBzOi8vd3d3LmxhdGltZXMuY29tL2NhbGlmb3JuaWEvc3RvcnkvMjAyMS0wNy0xNS9sLWEtY291bnR5LXdpbGwtcmVxdWlyZS1tYXNrcy1pbmRvb3JzLWFtaWQtY292aWQtMTktc3VyZ2XSAQA?oc=5,la county will require masks indoors amid covid19 surge  los angeles times,15:00.0,shoebat,anti,cc,FALSE,la county will require masks indoors amid covid19 surge los angeles times,right,neutral,disagree,Agree,neutral
4870,url_no_6079,48,0,An elderly man died shortly after getting a COVID-19 vaccine in New York City.,An elderly man died shortly after getting a COVID-19 vaccine in New York City,"['an', 'elderli', 'man', 'die', 'shortli', 'after', 'get', 'a', 'covid-19', 'vaccin', 'in', 'new', 'york', 'citi']","['an', 'elderli', 'man', 'die', 'shortli', 'after', 'get', 'a', 'covid-19', 'vaccin', 'in', 'new', 'york', 'citi']","['an', 'elderli', 'man', 'die', 'shortli', 'after', 'get', 'a', 'covid-19', 'vaccin', 'in', 'new', 'york', 'citi']","['an', 'elderli', 'man', 'die', 'shortli', 'after', 'get', 'a', 'covid-19', 'vaccin', 'in', 'new', 'york', 'citi']",newsmax.com/us/nyc-new-york-covid-vaccine/2021/02/08/id/1009112,elderly man dies after getting covid19 vaccine in nyc,50:16.0,newsmax,anti,cc,FALSE,elderly man dies after getting covid19 vaccine in nyc,right,disagree,agree,Disagree,disagree
1771,url_no_2711,44,0,The ability to trigger these immune responses does not necessarily indicate that the vaccine will protect humans from Covid-19.,"The ability to trigger these immune responses does not necessarily indicate that the vaccine will protect humans from Covid-19 ,","['the', 'abil', 'to', 'trigger', 'these', 'immun', 'respons', 'doe', 'not', 'necessarili', 'indic', 'that', 'the', 'vaccin', 'will', 'protect', 'human', 'from', 'covid-19', ',']","['the', 'abil', 'to', 'trigger', 'these', 'immun', 'respons', 'doe', 'not', 'necessarili', 'indic', 'that', 'the', 'vaccin', 'will', 'protect', 'human', 'from', 'covid-19', ',']","['the', 'abil', 'to', 'trigger', 'these', 'immun', 'respons', 'doe', 'not', 'necessarili', 'indic', 'that', 'the', 'vaccin', 'will', 'protect', 'human', 'from', 'covid-19', ',']","['the', 'abil', 'to', 'trigger', 'these', 'immun', 'respons', 'doe', 'not', 'necessarili', 'indic', 'that', 'the', 'vaccin', 'will', 'protect', 'human', 'from', 'covid-19', ',']",breitbart.com/europe/2020/05/23/british-researchers-testing-experimental-vaccine-on-thousands-of-people/,british researchers testing experimental vaccine on thousands of people,53:20.0,breitbart,anti,cc,TRUE,british researchers testing experimental vaccine on thousands of people,right,disagree,agree,Disagree,neutral
11342,url_no_15381,42,0,I think it's a really strong rationale for why people who were previously infected with COVID should be getting the vaccine.,"I think it 's a really strong rationale for why people who were previously infected with COVID should be getting the vaccine ,","['i', 'think', 'it', ""'s"", 'a', 'realli', 'strong', 'rational', 'for', 'whi', 'peopl', 'who', 'were', 'previous', 'infect', 'with', 'covid', 'should', 'be', 'get', 'the', 'vaccin', ',']","['i', 'think', 'it', ""'s"", 'a', 'realli', 'strong', 'rational', 'for', 'whi', 'peopl', 'who', 'were', 'previous', 'infect', 'with', 'covid', 'should', 'be', 'get', 'the', 'vaccin', ',']","['i', 'think', 'it\', ""\'s"", \'a', 'realli', 'strong', 'rational', 'for', 'whi', 'peopl', 'who', 'were', 'previous', 'infect', 'with', 'covid', 'should', 'be', 'get', 'the', 'vaccin', ',']","['i', 'think', 'it\', ""\'s"", \'a', 'realli', 'strong', 'rational', 'for', 'whi', 'peopl', 'who', 'were', 'previous', 'infect', 'with', 'covid', 'should', 'be', 'get', 'the', 'vaccin', ',']",newsmax.com/us/pfizer-moderna-dose-immunity/2021/02/21/id/1010906,studies covid survivors might need just 1 vaccine dose,04:45.0,newsmax,anti,cc,FALSE,studies covid survivors might need just 1 vaccine dose,right,agree,neutral,Agree,agree
1355,url_no_2256,41,0,"More than 5k new daily COVID cases and hospitalizations have dropped by up to a half since January, as Biden announces US is on track to have enough vaccines for every adult by the end of MAY Only Florida, New York, and Texas reported more than 5,000 new COVID-19 cases on Tuesday Nationwide.","more than 5k new daily COVID cases and hospitalizations have dropped by up to a half since January , as Biden announces US is on track to have enough vaccines for every adult by the end of MAY Only Florida , New York , and Texas reported more than 5,000 new COVID-19 cases on Tuesday Nationwide","['more', 'than', '5k', 'new', 'daili', 'covid', 'case', 'and', 'hospit', 'have', 'drop', 'by', 'up', 'to', 'a', 'half', 'sinc', 'januari', ',', 'as', 'biden', 'announc', 'us', 'is', 'on', 'track', 'to', 'have', 'enough', 'vaccin', 'for', 'everi', 'adult', 'by', 'the', 'end', 'of', 'may', 'onli', 'florida', ',', 'new', 'york', ',', 'and', 'texa', 'report', 'more', 'than', '5,000', 'new', 'covid-19', 'case', 'on', 'tuesday', 'nationwid']","['more', 'than', '5k', 'new', 'daili', 'covid', 'case', 'and', 'hospit', 'have', 'drop', 'by', 'up', 'to', 'a', 'half', 'sinc', 'januari', ',', 'as', 'biden', 'announc', 'us', 'is', 'on', 'track', 'to', 'have', 'enough', 'vaccin', 'for', 'everi', 'adult', 'by', 'the', 'end', 'of', 'may', 'onli', 'florida', ',', 'new', 'york', ',', 'and', 'texa', 'report', 'more', 'than', '5,000', 'new', 'covid-19', 'case', 'on', 'tuesday', 'nationwid']","['more', 'than', '5k', 'new', 'daili', 'covid', 'case', 'and', 'hospit', 'have', 'drop', 'by', 'up', 'to', 'a', 'half', 'sinc', 'januari', ',', 'as', 'biden', 'announc', 'us', 'is', 'on', 'track', 'to', 'have', 'enough', 'vaccin', 'for', 'everi', 'adult', 'by', 'the', 'end', 'of', 'may', 'onli', 'florida', ',', 'new', 'york', ',', 'and', 'texa', 'report', 'more', 'than', '5,000', 'new', 'covid-19', 'case', 'on', 'tuesday', 'nationwid']","['more', 'than', '5k', 'new', 'daili', 'covid', 'case', 'and', 'hospit', 'have', 'drop', 'by', 'up', 'to', 'a', 'half', 'sinc', 'januari', ',', 'as', 'biden', 'announc', 'us', 'is', 'on', 'track', 'to', 'have', 'enough', 'vaccin', 'for', 'everi', 'adult', 'by', 'the', 'end', 'of', 'may', 'onli', 'florida', ',', 'new', 'york', ',', 'and', 'texa', 'report', 'more', 'than', '5,000', 'new', 'covid-19', 'case', 'on', 'tuesday', 'nationwid']",dailymail.co.uk/news/article-9317987/Biden-invoke-Defense-Production-Act-assist-Merck-Johnson-Johnson-vaccine-partnership.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,biden will invoke defense production act to assist the merckjohnson  johnson vaccine partnership,36:17.0,drudgereport,anti,cc,FALSE,biden will invoke defense production act to assist the merckjohnson johnson vaccine partnership,right,agree,neutral,Agree,neutral
2428,url_no_3688,76,0,"COVID vaccines are safe and effective and ""millions of people in the United States have received COVID-19 vaccines under the most intense safety monitoring in U.S. history ."" ","COVID vaccines are safe and effective and "" millions of people in the United States have received COVID-19 vaccines under the most intense safety monitoring in U.S. history . ""          Related Stories :    Olympics Grappling With COVID Testing","['covid', 'vaccin', 'are', 'safe', 'and', 'effect', 'and', '``', 'million', 'of', 'peopl', 'in', 'the', 'unit', 'state', 'have', 'receiv', 'covid-19', 'vaccin', 'under', 'the', 'most', 'intens', 'safeti', 'monitor', 'in', 'u.s.', 'histori', '.', '``', 'relat', 'stori', ':', 'olymp', 'grappl', 'with', 'covid', 'test']","['covid', 'vaccin', 'are', 'safe', 'and', 'effect', 'and', '``', 'million', 'of', 'peopl', 'in', 'the', 'unit', 'state', 'have', 'receiv', 'covid-19', 'vaccin', 'under', 'the', 'most', 'intens', 'safeti', 'monitor', 'in', 'u.s.', 'histori', '.', '``', 'relat', 'stori', ':', 'olymp', 'grappl', 'with', 'covid', 'test']","['covid', 'vaccin', 'are', 'safe', 'and', 'effect', 'and', '``', 'million', 'of', 'peopl', 'in', 'the', 'unit', 'state', 'have', 'receiv', 'covid-19', 'vaccin', 'under', 'the', 'most', 'intens', 'safeti', 'monitor', 'in', 'u.s.', 'histori', '.', '``', 'relat', 'stori', ':', 'olymp', 'grappl', 'with', 'covid', 'test']","['covid', 'vaccin', 'are', 'safe', 'and', 'effect', 'and', '``', 'million', 'of', 'peopl', 'in', 'the', 'unit', 'state', 'have', 'receiv', 'covid-19', 'vaccin', 'under', 'the', 'most', 'intens', 'safeti', 'monitor', 'in', 'u.s.', 'histori', '.', '``', 'relat', 'stori', ':', 'olymp', 'grappl', 'with', 'covid', 'test']",newsmax.com/us/conservative-radio-host-vaccine-covid-hospital/2021/07/23/id/1029701,conservative radio host changes vaccine stance after being hospitalized with covid,19:35.0,newsmax,anti,cc,FALSE,conservative radio host changes vaccine stance after being hospitalized with covid,right,agree,agree,Agree,agree
14004,url_no_20119,29,0,White House officials are devising ways to fight the spread of dangerous falsehoods about Covid-19 vaccines.,White House officials are devising ways to fight the spread of dangerous falsehoods about Covid-19 vaccines,"['white', 'hous', 'offici', 'are', 'devis', 'way', 'to', 'fight', 'the', 'spread', 'of', 'danger', 'falsehood', 'about', 'covid-19', 'vaccin']","['white', 'hous', 'offici', 'are', 'devis', 'way', 'to', 'fight', 'the', 'spread', 'of', 'danger', 'falsehood', 'about', 'covid-19', 'vaccin']","['white', 'hous', 'offici', 'are', 'devis', 'way', 'to', 'fight', 'the', 'spread', 'of', 'danger', 'falsehood', 'about', 'covid-19', 'vaccin']","['white', 'hous', 'offici', 'are', 'devis', 'way', 'to', 'fight', 'the', 'spread', 'of', 'danger', 'falsehood', 'about', 'covid-19', 'vaccin']",news.google.com/__i/rss/rd/articles/CBMiWWh0dHBzOi8vd3d3LmNubi5jb20vMjAyMS8wNy8xNC9wb2xpdGljcy93aGl0ZS1ob3VzZS1jb3ZpZC1kaXNpbmZvcm1hdGlvbi1maWdodC9pbmRleC5odG1s0gFdaHR0cHM6Ly9hbXAuY25uLmNvbS9jbm4vMjAyMS8wNy8xNC9wb2xpdGljcy93aGl0ZS1ob3VzZS1jb3ZpZC1kaXNpbmZvcm1hdGlvbi1maWdodC9pbmRleC5odG1s?oc=5,white house prepares to fight back in the covid vaccine disinformation war  cnn,29:00.0,shoebat,anti,cc,FALSE,white house prepares to fight back in the covid vaccine disinformation war cnn,right,neutral,neutral,Disagree,agree
12967,url_no_18438,19,1,"That it found a possible link between the AstraZeneca coronavirus vaccine and a rare clotting disorder but declined to impose any new age restrictions, saying the benefits of the shot still outweigh risks.","that The European Union drug regulator found a “ possible link ” between the AstraZeneca coronavirus vaccine and a rare clotting disorder but declined to impose any new age restrictions , saying the benefits of the shot still outweigh risks","['that', 'it', 'found', 'a', '“', 'possibl', 'link', '”', 'between', 'the', 'astrazeneca', 'coronaviru', 'vaccin', 'and', 'a', 'rare', 'clot', 'disord', 'but', 'declin', 'to', 'impos', 'ani', 'new', 'age', 'restrict', ',', 'say', 'the', 'benefit', 'of', 'the', 'shot', 'still', 'outweigh', 'risk']","['that', 'the', 'european', 'union', 'drug', 'regul', 'found', 'a', '“', 'possibl', 'link', '”', 'between', 'the', 'astrazeneca', 'coronaviru', 'vaccin', 'and', 'a', 'rare', 'clot', 'disord', 'but', 'declin', 'to', 'impos', 'ani', 'new', 'age', 'restrict', ',', 'say', 'the', 'benefit', 'of', 'the', 'shot', 'still', 'outweigh', 'risk']","['that', 'it', 'found', 'a', '“', 'possibl', 'link', '”', 'between', 'the', 'astrazeneca', 'coronaviru', 'vaccin', 'and', 'a', 'rare', 'clot', 'disord', 'but', 'declin', 'to', 'impos', 'ani', 'new', 'age', 'restrict', ',', 'say', 'the', 'benefit', 'of', 'the', 'shot', 'still', 'outweigh', 'risk']","['that', 'the', 'european', 'union', 'drug', 'regul', 'found', 'a', '“', 'possibl', 'link', '”', 'between', 'the', 'astrazeneca', 'coronaviru', 'vaccin', 'and', 'a', 'rare', 'clot', 'disord', 'but', 'declin', 'to', 'impos', 'ani', 'new', 'age', 'restrict', ',', 'say', 'the', 'benefit', 'of', 'the', 'shot', 'still', 'outweigh', 'risk']",feedproxy.google.com/~r/breitbart/~3/Ia55JHL_1rY/,uk to offer under30s alternative coronavirus vaccine to astrazeneca jab,49:05.0,breitbart,anti,cc,TRUE,uk to offer under30s alternative coronavirus vaccine to astrazeneca jab,right,disagree,neutral,Agree,agree
3607,url_no_4545,66,1,That if you have had Covid before your first vaccine it is behaving a bit like the second one like a booster.,that if you have had Covid before your first vaccine It is behaving a bit like the second one — like a booster,"['that', 'if', 'you', 'have', 'had', 'covid', 'befor', 'your', 'first', 'vaccin', 'it', 'is', 'behav', 'a', 'bit', 'like', 'the', 'second', 'one', '—', 'like', 'a', 'booster']","['that', 'if', 'you', 'have', 'had', 'covid', 'befor', 'your', 'first', 'vaccin', 'it', 'is', 'behav', 'a', 'bit', 'like', 'the', 'second', 'one', '—', 'like', 'a', 'booster']","['that', 'if', 'you', 'have', 'had', 'covid', 'befor', 'your', 'first', 'vaccin', 'it', 'is', 'behav', 'a', 'bit', 'like', 'the', 'second', 'one', '—', 'like', 'a', 'booster']","['that', 'if', 'you', 'have', 'had', 'covid', 'befor', 'your', 'first', 'vaccin', 'it', 'is', 'behav', 'a', 'bit', 'like', 'the', 'second', 'one', '—', 'like', 'a', 'booster']",dailymail.co.uk/news/article-9223085/Covid-survivors-TWICE-likely-suffer-effects-Pfizers-vaccine-data-shows.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,covid survivors are twice as likely to suffer side effects from pfizers vaccine data shows,34:36.0,drudgereport,anti,cc,FALSE,covid survivors are twice as likely to suffer side effects from pfizers vaccine data shows,right,agree,neutral,Agree,neutral
3466,url_no_4397,70,2,Oxford study chief-as US experts find their own jab triggered antibody levels THREE times higher than in recovered patients.,Oxford study chief - as US experts find Coronavirus vaccine own jab triggered antibody levels THREE times higher than in recovered patients By VICTORIA ALLEN SCIENCE CORRESPONDENT FOR THE DAILY MAIL,"['oxford', 'studi', 'chief', '-', 'as', 'us', 'expert', 'find', 'their', 'own', 'jab', 'trigger', 'antibodi', 'level', 'three', 'time', 'higher', 'than', 'in', 'recov', 'patient', 'by', 'victoria', 'allen', 'scienc', 'correspond', 'for', 'the', 'daili', 'mail']","['oxford', 'studi', 'chief', '-', 'as', 'us', 'expert', 'find', 'coronaviru', 'vaccin', 'own', 'jab', 'trigger', 'antibodi', 'level', 'three', 'time', 'higher', 'than', 'in', 'recov', 'patient', 'by', 'victoria', 'allen', 'scienc', 'correspond', 'for', 'the', 'daili', 'mail']","['oxford', 'studi', 'chief', '-', 'as', 'us', 'expert', 'find', 'their', 'own', 'jab', 'trigger', 'antibodi', 'level', 'three', 'time', 'higher', 'than', 'in', 'recov', 'patient', 'by', 'victoria', 'allen', 'scienc', 'correspond', 'for', 'the', 'daili', 'mail']","['oxford', 'studi', 'chief', '-', 'as', 'us', 'expert', 'find', 'coronaviru', 'vaccin', 'own', 'jab', 'trigger', 'antibodi', 'level', 'three', 'time', 'higher', 'than', 'in', 'recov', 'patient', 'by', 'victoria', 'allen', 'scienc', 'correspond', 'for', 'the', 'daili', 'mail']",dailymail.co.uk/news/article-8481619/Could-pill-gut-bacteria-treat-Covid-19.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,could a pill made from gut bacteria treat covid19,04:53.0,drudgereport,anti,cc,FALSE,could a pill made from gut bacteria treat covid19,right,agree,agree,Neutral,neutral
13440,url_no_19064,83,0,Covid-19 vaccines may not prevent people from getting severely sick or dying.,Covid-19 vaccines may not prevent people from getting severely sick or dying,"['covid-19', 'vaccin', 'may', 'not', 'prevent', 'peopl', 'from', 'get', 'sever', 'sick', 'or', 'die']","['covid-19', 'vaccin', 'may', 'not', 'prevent', 'peopl', 'from', 'get', 'sever', 'sick', 'or', 'die']","['covid-19', 'vaccin', 'may', 'not', 'prevent', 'peopl', 'from', 'get', 'sever', 'sick', 'or', 'die']","['covid-19', 'vaccin', 'may', 'not', 'prevent', 'peopl', 'from', 'get', 'sever', 'sick', 'or', 'die']",dailymail.co.uk/news/article-8867929/Vaccine-trials-NOT-stopped-scientists-say-Brazilian-volunteer-dies-Covid-19.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,vaccine trials should not be stopped scientists say as brazilian volunteer dies from covid19,36:39.0,drudgereport,anti,cc,FALSE,vaccine trials should not be stopped scientists say as brazilian volunteer dies from covid19,right,disagree,agree,Disagree,neutral
